,condition,passive
0,ctrl_cl,61.71175344327096
1,ctrl_cl,21.23023227081789
2,ctrl_cl,38.81733382752657
3,ctrl_cl,45.800901902643936
4,ctrl_cl,62.337842846553
5,ctrl_cl,66.46126760563381
6,ctrl_cl,52.8076352853966
7,ctrl_cl,14.09686187299234
8,clado_cl,63.98072646404744
9,clado_cl,67.9225352112676
10,clado_cl,24.78224610822831
11,clado_cl,35.4304114158636
12,clado_cl,76.22729799851741
13,clado_cl,74.01853568118628
14,clado_cl,43.888065233506296
15,ol,93.92949786918659
16,ol,92.02881764269829
17,ol,82.60362614282185
18,ol,93.77393748455646
19,ol,74.4069681245367
20,ol,93.21410921670372
21,ol,89.16095255744997
22,ol,92.73381517173216
23,clado_ol,89.71151470224858
24,clado_ol,97.09661477637756
25,clado_ol,91.60334815913023
26,clado_ol,84.04064739313071
27,clado_ol,98.40004941932294
28,clado_ol,98.14334260117393
29,clado_ol,96.3437422782308
