,condition,passive,rate,int_cl,int_ol,rate_ol,struggle_rate
0,control,6.63608846058809,0.4239251297257227,7.195487971770588,6.107877263146143,0.19389362490733877,0.036894922002196996
1,control,19.048060291574007,0.30439214232765005,11.352250073899619,8.741032008813905,0.17234988880652335,0.035090811965811965
2,control,71.23247483169662,0.15147304057809893,15.444096675812242,9.606357135635173,0.06114508060033352,0.008333333333333333
3,control,76.57060785767236,0.12509266123054114,14.02810417536737,4.6829066200082226,0.027798369162342473,0.0
4,control,26.763325304181336,0.2556976097832129,10.305423761841423,7.581509801241886,0.1264591439688716,0.05952388493149363
5,control,78.59150145142362,0.06531406336853808,16.30975925784548,2.719159868842454,0.02709838799332963,0.0
6,control,69.26070038910505,0.09032795997776542,,2.3934138990212666,0.01876042245692051,0.0
7,control,15.235050654806026,0.8409006671608599,6.605020406279441,4.225106874005107,0.47604707190511486,0.03875597760001745
8,ketamine,80.8893829905503,0.06809338521400778,12.624067455395227,8.252665863119647,0.0528071150639244,0.0431547619047619
9,ketamine,79.1558561897702,0.03335804299481097,21.595830485684672,12.829871259605369,0.03961267605633803,0.016666666666666666
10,ketamine,41.12701500833796,0.169538632573652,12.478619784846936,8.404228708430002,0.04168982768204558,0.02857142857142857
11,ketamine,62.3712008895478,0.06810600444773907,20.53597065331692,10.300093984858544,0.046562268346923646,0.013888888888888888
12,ketamine,56.66064480266814,0.11812117843246249,,8.931220687101574,0.08407448582545858,0.1271347439110597
13,ketamine,83.24902723735407,0.033351862145636464,12.027528260498428,4.278239709998963,0.023624235686492495,0.0
14,ketamine,89.51361867704281,0.023624235686492495,13.15308501377501,4.0919220049757135,0.024319066147859923,0.0
15,ketamine,48.023072646404735,0.1501111934766494,10.11651106452674,4.540457970509723,0.026408450704225355,0.05555555555555555
