,condition,value
0,atp_onset,21
1,atp_peak,31
2,atp_onset,24
3,atp_peak,31
4,atp_onset,19
5,atp_peak,33
6,atp_onset,21
7,atp_peak,30
8,atp_onset,18
9,atp_peak,28
10,atp_onset,20
11,atp_peak,28
12,atp_onset,24
13,atp_peak,30
14,atp_onset,20
15,atp_peak,27
16,atp_onset,24
17,atp_peak,30
18,atp_onset,20
19,atp_peak,27
20,ctrl_onset,15
21,ctrl_peak,27
22,ctrl_onset,20
23,ctrl_peak,32
24,ctrl_onset,20
25,ctrl_peak,28
26,ctrl_onset,20
27,ctrl_peak,29
28,ctrl_onset,24
29,ctrl_peak,28
30,ctrl_onset,25
31,ctrl_peak,30
32,ctrl_onset,20
33,ctrl_peak,31
34,ctrl_onset,20
35,ctrl_peak,28
36,ctrl_onset,25
37,ctrl_peak,29
